Token 	Tags Validés
oseti 	 VER 
pod 	 PRP 
jagodicama 	 NOM:com 
priljubljenih 	 ADJ 
palaca 	 NOM:com 
bar 	 ADV 
tri 	 NUM:CAR 
- 	 PUN 
četiri 	 NUM:CAR 
poluloptasta 	 ADJ
ispupčenja 	 NOM:com 
, 	 PUN 
slična 	 ADJ 
slovima 	 NOM:com 
azbuke 	 NOM:com 
za 	 PRP 
slepe 	 ADJ 
. 	 SENT 
 	  
Tu 	 ADV 
, 	 PUN 
oko 	 PRP 
tih 	 ADJ:DEM 
okaca 	 NOM:com 
, 	 PUN 
nahvatao 	 VER 
se 	 PRO:REF 
prstenasto 	 ADV 
sloj 	NOM:com
masnoće 	 NOM:com 
, 	 PUN 
jedva 	 ADV 
vidljiv 	 ADJ 
i 	 KON:COOR 
sličan 	 ADJ 
senci 	 NOM:com 
tih 	 ADJ:DEM 
malih 	 ADJ 
kupola 	 NOM:com 
. 	 SENT 
 	  
Ti 	ADJ:DEM
su 	 VER:AUX 
prstenčići 	 NOM:com 
, 	 PUN 
boje 	 NOM:com 
prljavštine 	 NOM:com 
ispod 	 PRP 
nokata 	 NOM:com 
, 	 PUN 
nastali 	 VER 
od 	 PRP 
kafenog 	 ADJ 
taloga 	 NOM:com 
, 	 PUN 
ribljeg 	 ADJ 
zejtina 	 NOM:com 
, 	 PUN 
meda 	 NOM:com 
i 	 KON:COOR 
šerbeta 	 NOM:com 
. 	 SENT 
 	  
Na 	 PRP 
glatkoj 	 ADJ 
i 	 KON:COOR 
sjajnoj 	 ADJ 
površini 	 NOM:com 
platoa 	 NOM:com 
ocrtavaju 	 VER 
se 	 PRO:REF 
, 	 PUN 
u 	PRP
vidu 	NOM:com
tankog 	ADJ
polumeseca 	NOM:com
, 	PUN
tragovi 	NOM:com
staklarije 	 NOM:com 
tek 	 ADV 
pomerene 	 ADJ 
s 	 PRP 
mesta 	 NOM:com 
. 	 SENT 
 	  
– 	 PUN 
I 	 KON:COOR 
ne 	 PAR 
otvarajući 	 VER 
oči 	 NOM:com 
, 	 PUN 
ja 	 PRO:PER 
sam 	 VER:AUX 
znao 	 VER 
, 	 PUN 
po 	 PRP 
kristalnom 	 ADJ 
zveckanju 	 NOM:com 
kašičica 	 NOM:com 
o 	 PRP 
čaše 	 NOM:com 
, 	 PUN 
da 	 KON:SUB 
je 	 VER:AUX 
majka 	 NOM:com 
za 	 PRP 
trenutak 	 NOM:com 
ostavila 	 VER 
poslužavnik 	 NOM:com 
i 	 KON:COOR 
da 	 KON:SUB 
je 	 VER:AUX 
krenula 	 VER 
, 	 PUN 
puna 	 ADJ 
odlučnosti 	 NOM:com 
, 	 PUN 
prema 	 PRP 
prozoru 	 NOM:com 
, 	 PUN 
kako 	 KON:SUB 
bi 	 VER:AUX 
pomerila 	 VER 
tamnu 	 ADJ 
zavesu 	 NOM:com 
. 	 SENT 
 	  
Onda 	 ADV 
bi 	 VER:AUX 
se 	 PRO:REF 
soba 	 NOM:com 
ozarila 	 VER 
bleštavom 	 ADJ 
svetlošću 	 NOM:com 
prepodneva 	 NOM:com 
i 	 KON:COOR 
ja 	 PRO:PER 
bih 	 VER:AUX 
čvrsto 	 ADV 
zatvarao 	 VER 
oči 	 NOM:com 
, 	 PUN 
dok 	 KON:SUB 
se 	 PRO:REF 
svetlost 	 NOM:com 
ne 	 PAR 
bi 	 VER:AUX 
prelila 	 VER 
u 	PRP
žuto 	NOM:com
, 	 PUN 
u 	 PRP 
plavo 	 NOM:com 
, 	 PUN 
u 	 PRP 
crveno 	 NOM:com 
. 	 SENT 
 	  
Majka 	 NOM:com 
je 	 VER:AUX 
na 	 PRP 
svom 	 ADJ:POS 
poslužavniku 	 NOM:com 
, 	 PUN 
u 	 PRP 
tegli 	 NOM:com 
s 	 PRP 
medom 	 NOM:com 
, 	 PUN 
u 	 PRP 
flašici 	 NOM:com 
s 	 PRP 
ribljim 	 ADJ 
zejtinom 	 NOM:com 
, 	 PUN 
donosila 	 VER 
ćilibarske 	 ADJ 
boje 	 NOM:com 
sunčanih 	 ADJ 
dana 	 NOM:com 
, 	 PUN 
guste 	 ADJ 
koncentrate 	 NOM:com 
pune 	 ADJ 
opojnih 	 ADJ 
mirisa 	 NOM:com 
. 	 SENT 
 	
Te 	 ADJ:DEM 
su 	 VER:AUX 
teglice 	 NOM:com 
i 	 KON:COOR 
čaše 	 NOM:com 
bile 	 VER 
samo 	 ADV 
uzorci 	 NOM:com 
, 	 PUN 
specimeni 	 NOM:com 
onih 	 ADJ:DEM 
novih 	 ADJ 
zemalja 	 NOM:com 
pri 	 PRP 
kojima 	 PRO:REL 
bi 	 VER:AUX 
izjutra 	 ADV 
pristao 	 VER 
ludi 	 ADJ 
šlep 	 NOM:com 
naših 	 ADJ:POS 
dana 	 NOM:com 
. 	 SENT 
 	
U 	 PRP 
čaši 	 NOM:com 
je 	 VER:AUX 
blistala 	 VER 
sveža 	 ADJ 
voda 	 NOM:com 
, 	 PUN 
voda 	 NOM:com 
- 	 PUN 
specimen 	 NOM:com 
, 	 PUN 
i 	 KON:COOR 
mi 	 PRO:PER 
bismo 	 VER:AUX 
je 	PRO:PER
znalački 	ADV
ispijali 	 VER 
, 	 PUN 
u 	 PRP 
malim 	 ADJ 
gutljajima 	 NOM:com 
, 	 PUN 
cokćući 	 VER 
jezikom 	 NOM:com 
, 	 PUN 
kao 	 KON:SUB 
iskusni 	 ADJ 
degustatori 	 NOM:com 
. 	 SENT 
 	  
Katkad 	 ADV 
smo 	 VER:AUX 
svoje 	 ADJ:POS 
nezadovoljstvo 	 NOM:com 
pokazivali 	 VER 
grimasama 	 NOM:com 
i 	 KON:COOR 
kašljucanjem 	 NOM:com 
: 	 PUN 
voda 	 NOM:com 
je 	 VER:AUX 
bila 	 VER 
bez 	 PRP 
ukusa 	 NOM:com 
, 	 PUN 
masna 	 ADJ 
kao 	 KON:SUB 
kišnica 	 NOM:com 
, 	 PUN 
puna 	 ADJ 
jesenjeg 	 ADJ 
mutljaga 	 NOM:com 
, 	 PUN 
a 	 KON:COOR 
med 	 NOM:com 
je 	 VER:AUX 
gubio 	 VER 
boju 	 NOM:com 
i 	 KON:COOR 
postajao 	 VER 
gust 	 ADJ
i 	 KON:COOR 
neproziran 	 ADJ 
, 	 PUN 
sa 	 PRP 
prvim 	 NUM:ORD 
znacima 	 NOM:com 
kristalizacije 	 NOM:com 
. 	 SENT 
 	  
Za 	 PRP 
kišnih 	 ADJ 
dana 	 NOM:com 
, 	 PUN 
oblačnih 	 ADJ 
i 	 KON:COOR 
sumornih 	 ADJ 
, 	 PUN 
na 	 PRP 
dršci 	 NOM:com 
kašičice 	 NOM:com 
ostajali 	 VER 
su 	 VER:AUX 
tragovi 	 NOM:com 
naših 	 ADJ:POS 
prstiju 	 NOM:com 
. 	 SENT 
 	  
Tada 	 ADV 
, 	 PUN 
ožalošćeni 	ADJ
i 	 KON:COOR 
nezadovoljni 	 ADJ 
, 	 PUN 
odbijali 	 VER 
smo 	 VER:AUX 
da 	 KON:SUB 
se 	 PRO:REF 
budimo 	 VER 
i 	 KON:COOR 
zavlačili 	 VER 
bismo 	 VER:AUX 
se 	 PRO:REF 
ponovo 	 ADV 
pod 	 PRP 
mazne 	 ADJ 
jorgane 	 NOM:com 
kako 	 KON:SUB 
bismo 	 VER:AUX 
prespavali 	 VER 
dane 	 NOM:com 
koji 	 PRO:REL 
su 	 VER:AUX 
počeli 	 VER 
da 	 KON:SUB 
se 	 PRO:REF 
kvare 	 VER 
i 	 KON:COOR 
da 	 KON:SUB 
mirišu 	 VER 
kao 	 KON:SUB 
ustajale 	 ADJ 
ribe 	 NOM:com 
. 	 SENT 
 	  
Stabla 	 NOM:com 
divljih 	 ADJ 
kestenova 	 NOM:com 
u 	 PRP 
našoj 	 ADJ:POS 
ulici 	 NOM:com 
dodirivala 	 VER 
su 	 VER:AUX 
se 	 PRO:REF 
svojim 	 ADJ:POS 
najisturenijim 	 ADJ:SUP 
granama 	 NOM:com 
, 	 PUN 
stvarajući 	 VER 
trem 	 NOM:com 
. 	 SENT 
 	  
Između 	 PRP 
tih 	 ADJ:DEM 
golemih 	 ADJ 
arkada 	 NOM:com 
pružali 	 VER 
su 	 VER:AUX 
se 	 PRO:REF 
svodovi 	 NOM:com 
obrasli 	 ADJ
lišćem 	 NOM:col 
kao 	 KON:SUB 
bršljanom 	 NOM:com 
. 	 SENT 
 	  
Čitava 	 ADJ 
ta 	 ADJ:DEM 
arhitektura 	 NOM:com 
stajala 	 VER 
je 	 VER:AUX 
u 	 PRP 
dane 	 NOM:com 
ravnodnevice 	 NOM:com 
, 	 PUN 
ili 	 KON:COOR 
u 	 PRP 
obične 	 ADJ 
dane 	 NOM:com 
bez 	 PRP 
vetra 	 NOM:com 
, 	 PUN 
nepokretna 	 ADJ 
i 	 KON:COOR 
stabilna 	 ADJ 
u 	 PRP 
svojim 	 ADJ:POS 
smelim 	 ADJ 
konstrukcijama 	 NOM:com 
, 	 PUN 
samo 	 ADV 
bi 	 VER:AUX 
sunce 	 NOM:com 
s 	 PRP 
vremena 	 NOM:com 
na 	 PRP 
vreme 	 NOM:com 
hitnulo 	 VER 
svoje 	 ADJ:POS 
uzaludne 	 ADJ 
bandarilje 	 NOM:com 
kroz 	 PRP 
gusto 	 ADJ 
lišće 	 NOM:col 
. 	 SENT 
 	  
Probivši 	 VER 
se 	 PRO:REF 
kroz 	 PRP 
granje 	 NOM:col 
, 	 PUN 
kose 	 ADJ 
i 	 KON:COOR 
izukrštane 	 ADJ 
, 	 PUN 
one 	 PRO:PER 
bi 	 VER:AUX 
treperile 	 VER 
neko 	 ADJ:IND 
vreme 	 NOM:com 
od 	 PRP 
sopstvenog 	 ADJ 
zamaha 	 NOM:com 
, 	 PUN 
zatim 	 ADV 
bi 	 VER:AUX 
se 	 PRO:REF 
istopile 	 VER 
i 	 KON:COOR 
kanule 	 VER 
na 	 PRP 
tursku 	 ADJ 
kaldrmu 	 NOM:com 
kao 	 KON:SUB 
kap 	 NOM:com 
tečnog 	 ADJ 
srebra 	 NOM:com 
. 	 SENT 
 	  
Mi 	 PRO:PER 
prolazimo 	 VER 
ispod 	 PRP 
tih 	 ADJ:DEM 
svečanih 	 ADJ 
svodova 	 NOM:com 
, 	 PUN 
svečanih 	 ADJ 
i 	 KON:COOR 
pustih 	 ADJ 
, 	 PUN 
i 	 KON:COOR 
hitamo 	 VER 
da 	 KON:SUB 
se 	 PRO:REF 
domognemo 	 VER 
gradskih 	 ADJ 
arterija 	 NOM:com 
. 	 SENT 
 	  
Tišina 	 NOM:com 
, 	 PUN 
otmena 	 ADJ 
svečanost 	 NOM:com 
prazničkog 	 ADJ 
prepodneva 	 NOM:com 
. 	 SENT 
 	  
Iza 	 PRP 
spuštenih 	 ADJ 
prašnjavih 	 ADJ 
žaluzina 	 NOM:com 
još 	 ADV 
spavaju 	 VER 
poštanski 	 ADJ 
činovnici 	 NOM:com 
i 	 KON:COOR 
trgovački 	 ADJ 
pomoćnici 	 NOM:com 
. 	 SENT 
 	  
Prolazeći 	 VER 
kraj 	 PRP 
niskih 	 ADJ 
prizemlja 	 NOM:com 
, 	 PUN 
mi 	 PRO:PER 
se 	 PRO:REF 
pògledamo 	VER
i 	 KON:COOR 
smeškamo 	 VER 
se 	 PRO:REF 
puni 	 ADJ 
respekta 	 NOM:com 
: 	 PUN 
kroz 	 PRP 
tamne 	 ADJ 
, 	 PUN 
zalelujane 	 ADJ 
zavese 	 NOM:com 
i 	 KON:COOR 
kroz 	 PRP 
mešine 	 NOM:com 
žaluzina 	 NOM:com 
- 	 PUN 
harmonika 	 NOM:com 
čuju 	 VER 
se 	 PRO:REF 
ropci 	 NOM:com 
poslednjih 	 ADJ 
spavača 	 NOM:com 
. 	 SENT 
 	  
Plove 	 VER 
velike 	 ADJ 
lađe 	 NOM:com 
sna 	 NOM:com 
po 	 PRP 
tamnom 	 ADJ 
Stiksu 	 NOM:NAM 
, 	 PUN 
okreće 	 VER 
se 	 PRO:REF 
zamajac 	 NOM:com 
brodskih 	 ADJ 
mašina 	 NOM:com 
. 	 SENT 
 	  
Katkad 	 ADV 
se 	 PRO:REF 
učini 	 VER 
da 	 KON:SUB 
će 	 VER:AUX 
doći 	 VER 
do 	 PRP 
kvara 	 NOM:com 
, 	 PUN 
da 	 KON:SUB 
je 	VER
na 	 PRP 
pomolu 	 NOM:com 
katastrofalna 	 ADJ 
havarija 	 NOM:com 
. 	 SENT 
 	  
Mašina 	 NOM:com 
počinje 	 VER 
da 	 KON:SUB 
ropće 	 VER 
, 	 PUN 
kao 	 KON:SUB 
da 	 KON:SUB 
se 	 PRO:REF 
nasukala 	 VER 
na 	 PRP 
podvodni 	 ADJ 
greben 	 NOM:com 
, 	 PUN 
da 	 KON:SUB 
gubi 	 VER 
svoj 	 ADJ:POS 
ritam 	 NOM:com 
, 	 PUN 
da 	 KON:SUB 
zastaje 	 VER 
. 	 SENT 
 	  
Ali 	 KON:COOR 
kvar 	 NOM:com 
je 	 VER:AUX 
, 	 PUN 
izgleda 	 VER 
, 	 PUN 
otklonjen 	 VER
, 	 PUN 
kvara 	 NOM:com 
možda 	 PAR 
i 	 KON:COOR 
nije 	 VER:AUX 
bilo 	 VER 
. 	 SENT 
 	  
Plovimo 	 VER 
nizvodno 	 ADV 
, 	 PUN 
trideset 	 NUM:CAR 
milja 	 NOM:com 
na 	 PRP 
sat 	 NOM:com 
. 	 SENT 
 	  
A 	 KON:COOR 
kraj 	 PRP 
zasopljenih 	 ADJ 
spavača 	 NOM:com 
stoje 	 VER 
veliki 	 ADJ 
metalni 	 ADJ 
budilnici 	 NOM:com 
, 	 PUN 
propeti 	 ADJ
na 	 PRP 
zadnje 	 ADJ 
noge 	 NOM:com 
kao 	 KON:SUB 
pevci 	 NOM:com 
, 	 PUN 
kljucaju 	 VER 
sitno 	 ADJ 
semenje 	 NOM:com 
minuta 	 NOM:com 
da 	 KON:SUB 
bi 	 VER:AUX 
uskoro 	 ADV 
zatim 	 ADV 
, 	 PUN 
nabijeni 	 ADJ 
do 	 PRP 
eksplozije 	 NOM:com 
, 	 PUN 
nakljukani 	 ADJ 
i 	 KON:COOR 
besni 	 ADJ 
, 	 PUN 
odupirući 	 VER 
se 	 PRO:REF 
nogama 	 NOM:com 
o 	 PRP 
mermerne 	 ADJ 
ploče 	 NOM:com 
nahtkasni 	 NOM:com 
, 	 PUN 
počeli 	 VER 
da 	 KON:SUB 
kukuriču 	 VER 
slavodobitno 	 ADV 
, 	 PUN 
sa 	 PRP 
zalelujalim 	 ADJ 
, 	 PUN 
krvavim 	 ADJ 
krestama 	 NOM:com 
. 	 SENT 
 	  
Na 	 PRP 
uglu 	 NOM:com 
prema 	 PRP 
kasarni 	 NOM:com 
pojavljuje 	 VER 
se 	 PRO:REF 
frojlajn 	 NOM:com 
Vajs 	 NOM:NAM 
sa 	 PRP 
svojim 	 ADJ:POS 
kutijama 	 NOM:com 
od 	 PRP 
kartona 	 NOM:com 
. 	
 	
Ispod 	 PRP 
poderanih 	 ADJ 
haljina 	 NOM:com 
izviruju 	 VER 
tanke 	 ADJ 
kvrgave 	 ADJ 
noge 	 NOM:com 
, 	 PUN 
koje 	 PRO:REL 
se 	 PRO:REF 
završavaju 	 VER 
narandžastim 	 ADJ 
soknama 	 NOM:com 
. 	 SENT 
 	  
Frojlajn 	NOM:com
Vajs 	 NOM:NAM 
, 	 PUN 
stara 	 ADJ 
Nemica 	 NOM:NAM 
, 	 PUN 
prodaje 	 VER 
bombone 	 NOM:com 
od 	 PRP 
prženog 	 ADJ 
šećera 	 NOM:com 
. 	 SENT 
 	  
Gegajući 	 VER 
se 	 PRO:REF 
, 	 PUN 
pognuta 	 ADJ 
pod 	 PRP 
teretom 	 NOM:com 
, 	 PUN 
ona 	 PRO:PER 
se 	 PRO:REF 
miče 	 VER 
ispod 	 PRP 
svojih 	 ADJ:POS 
kutija 	 NOM:com 
, 	 PUN 
zaklonjena 	 ADJ 
njima 	 PRO:PER 
i 	 KON:COOR 
vezana 	 VER 
za 	 PRP 
njih 	 PRO:PER 
papirnom 	 ADJ 
špagom 	 NOM:com 
, 	 PUN 
samo 	 ADV 
joj 	 PRO:PER 
još 	 ADV 
glava 	 NOM:com 
izviruje 	 VER 
, 	 PUN 
kao 	 KON:SUB 
da 	 KON:SUB 
svoju 	 ADJ:POS 
glavu 	 NOM:com 
nosi 	 VER 
pod 	 PRP 
pazuhom 	 NOM:com 
, 	 PUN 
u 	 PRP 
kutiji 	 NOM:com 
. 	 SENT 
 	  
Lice 	 NOM:com 
joj 	 PRO:PER 
je 	 VER:AUX 
pretvoreno 	VER
, 	 PUN 
starošću 	 NOM:com 
i 	 KON:COOR 
boleštinama 	 NOM:com 
, 	 PUN 
u 	 PRP 
jednu 	 ADJ:IND 
tamnu 	 ADJ 
kaljugu 	 NOM:com 
. 	 SENT 
 	  
Bore 	 NOM:com 
joj 	 PRO:PER 
se 	 PRO:REF 
zrakasto 	 ADV 
šire 	 VER 
od 	 PRP 
usta 	 NOM:com 
, 	 PUN 
koja 	 PRO:REL 
su 	 VER:AUX 
se 	 PRO:REF 
, 	 PUN 
poput 	 PRP 
rane 	 NOM:com 
na 	 PRP 
Isusovom 	 ADJ 
dlanu 	 NOM:com 
, 	 PUN 
premestila 	 VER 
u 	 PRP 
centar 	 NOM:com 
njena 	 ADJ:POS 
lica 	 NOM:com 
. 	 SENT 
 	  
Tu 	 ADV 
se 	 PRO:REF 
slivaju 	 VER 
zvezdasto 	 ADV 
svi 	 ADJ:IND 
kanali 	NOM:com
njenih 	 ADJ:POS 
bora 	 NOM:com 
, 	 PUN 
u 	 PRP 
taj 	 ADJ:DEM 
golemi 	 ADJ 
stari 	 ADJ 
dekubitus 	 NOM:com 
. 	 SENT 
 	  
Vidite 	 VER 
, 	 PUN 
( 	 PUN 
deco 	 NOM:com 
) 	 PUN 
, 	 PUN 
ta 	 ADJ:DEM 
hrpa 	 NOM:com 
oglodanih 	 ADJ 
kostiju 	 NOM:com 
, 	 PUN 
to 	 ADJ:DEM 
micanje 	 NOM:com 
, 	 PUN 
to 	 ADJ:DEM 
hroptanje 	 NOM:com 
, 	 PUN 
to 	 PRO:DEM 
je 	 VER 
čitav 	 ADJ 
jedan 	 ADJ:IND 
genijalni 	 ADJ 
i 	 KON:COOR 
petparački 	 ADJ 
roman 	 NOM:com 
, 	 PUN 
poslednje 	 ADJ 
zaglavlje 	 NOM:com 
izlizane 	 ADJ 
knjige 	 NOM:com 
, 	 PUN 
pune 	 ADJ 
sjaja 	 NOM:com 
, 	 PUN 
svetkovina 	 NOM:com 
i 	 KON:COOR 
poraza 	 NOM:com 
. 	 SENT 
 	  
Jedna 	 PRO:NUM 
od 	 PRP 
preživelih 	 ADJ 
žrtava 	 NOM:com 
spektakularne 	 ADJ 
havarije 	 NOM:com 
Titanika 	 NOM:NAM 
, 	 PUN 
frojlajn 	 NOM:com 
Vajs 	 NOM:NAM 
je 	 VER:AUX 
jednom 	 ADV 
pokušala 	 VER 
samoubistvo 	 NOM:com 
. 	 SENT 
 	  
Poučena 	 ADJ 
primerom 	 NOM:com 
neke 	 ADJ:IND 
slavne 	 ADJ 
glumice 	 NOM:com 
, 	 PUN 
ispunila 	 VER 
je 	 VER:AUX 
svoju 	 ADJ:POS 
sobu 	 NOM:com 
u 	 PRP 
hotelu 	 NOM:com 
ružama 	 NOM:com 
i 	 KON:COOR 
cvećem 	 NOM:col 
. 	 SENT 
 	  
Ceo 	 ADJ 
dan 	 NOM:com 
su 	 VER:AUX 
joj 	 PRO:PER 
mali 	 ADJ 
hotelski 	 ADJ 
momci 	 NOM:com 
i 	 KON:COOR 
liftboji 	 NOM:com 
, 	 PUN 
poput 	 PRP 
kakvih 	 ADJ:IND 
anđelčića 	 NOM:com 
, 	 PUN 
donosili 	 VER 
bukete 	 NOM:com 
najmirisnijih 	 ADJ:SUP 
cvetova 	 NOM:com 
, 	 PUN 
a 	 KON:COOR 
liftovi 	 NOM:com 
hotela 	 NOM:com 
pretvorili 	 VER 
su 	 VER:AUX 
se 	 PRO:REF 
bili 	 VER:AUX 
tog 	 ADJ:DEM 
dana 	 NOM:com 
u 	 PRP 
velike 	 ADJ 
viseće 	 ADJ 
vrtove 	 NOM:com 
, 	 PUN 
u 	 PRP 
staklene 	 ADJ 
bašte 	 NOM:com 
koje 	 PRO:REL 
su 	 VER:AUX 
nosile 	 VER 
na 	 PRP 
nebo 	 NOM:com 
teret 	 NOM:com 
svojih 	 ADJ:POS 
mirisa 	 NOM:com 
, 	 PUN 
a 	 KON:COOR 
vraćali 	 VER 
se 	 PRO:REF 
nadole 	 ADV 
vrtoglavo 	 ADV 
, 	 PUN 
izgubivši 	 VER 
sasvim 	 ADV 
smisao 	 NOM:com 
za 	 PRP 
orijentaciju 	 NOM:com 
. 	 SENT 
 	  
Hiljade 	 NOM:com 
ružičastih 	 ADJ 
karanfila 	 NOM:com 
, 	 PUN 
zumbula 	 NOM:com 
, 	 PUN 
jorgovana 	 NOM:com 
i 	 KON:COOR 
perunika 	 NOM:com 
, 	 PUN 
stotine 	 NOM:com 
belih 	 ADJ 
ljiljana 	 NOM:com 
trebalo 	 VER 
je 	 VER:AUX 
da 	 KON:SUB 
padnu 	 VER 
kao 	 KON:SUB 
žrtva 	 NOM:com 
. 	 SENT 
 	  
A 	 KON:COOR 
njena 	 ADJ:POS 
će 	 VER:AUX 
se 	 PRO:REF 
duša 	 NOM:com 
, 	 PUN 
uspavana 	 ADJ 
mirisima 	 NOM:com 
i 	 KON:COOR 
pomešana 	ADJ
s 	 PRP 
njima 	 PRO:PER 
, 	 PUN 
vinuti 	 VER 
, 	 PUN 
lebdeći 	 VER 
, 	 PUN 
olakšana 	 NOM:com 
za 	 PRP 
jedan 	 ADJ:IND 
život 	 NOM:com 
, 	 PUN 
u 	 PRP 
rajske 	 ADJ 
ružičnjake 	 NOM:com 
, 	 PUN 
ili 	 KON:COOR 
će 	 VER:AUX 
se 	 PRO:REF 
pretvoriti 	 VER 
u 	 PRP 
cvet 	 NOM:com 
, 	 PUN 
u 	 PRP 
peruniku 	 NOM:com 
. 	 SENT 
 	  
. 	 SENT 
 	  
. 	 SENT 
 	  
Našli 	 VER 
su 	 VER:AUX 
je 	 PRO:PER 
sutradan 	 ADV 
u 	 PRP 
besvesti 	 NOM:com 
među 	 PRP 
ubilačkim 	 ADJ 
cvećem 	 NOM:col 
. 	 SENT 
 	  
Posle 	 PRP 
toga 	 PRO:DEM 
padala 	 VER 
je 	 VER:AUX 
, 	 PUN 
kao 	 KON:SUB 
žrtva 	 NOM:com 
osvete 	NOM:com
bogova 	 NOM:com 
cveća 	 NOM:col 
, 	 PUN 
pod 	 PRP 
automobile 	 NOM:com 
i 	 KON:COOR 
tramvaje 	 NOM:com 
, 	 PUN 
prelazili 	 VER 
su 	 VER:AUX 
preko 	 PRP 
nje 	 PRO:PER 
seljačke 	 ADJ 
taljige 	 NOM:com 
i 	 KON:COOR 
hitri 	ADJ
fijakeri 	 NOM:com 
, 	 PUN 
ali 	 KON:COOR 
ona 	 PRO:PER 
je 	 VER:AUX 
svaki 	 ADJ:IND 
put 	 NOM:com 
izlazila 	 VER 
ispod 	 PRP 
točkova 	 NOM:com 
povređena 	 ADJ 
ali 	 KON:COOR 
živa 	 ADJ 
, 	 PUN 
i 	 KON:COOR 
upoznala 	 VER 
tako 	 ADV 
, 	 PUN 
u 	 PRP 
tom 	 ADJ:DEM 
strasnom 	 ADJ 
dodiru 	 NOM:com 
sa 	 PRP 
smrću 	 NOM:com 
, 	 PUN 
tajnu 	 ADJ 
večnosti 	 NOM:com 
. 	 SENT 
 	  
Stenjući 	 VER 
i 	 KON:COOR 
ispuštajući 	 VER 
neke 	 ADJ:IND 
bolne 	 ADJ 
dubinske 	 ADJ 
glasove 	 NOM:com 
, 	 PUN 
slične 	 ADJ 
plaču 	 NOM:com 
, 	 PUN 
ona 	 PRO:PER 
prolazi 	 VER 
kraj 	 PRP 
nas 	 PRO:PER 
, 	 PUN 
kao 	 KON:SUB 
kad 	 KON:SUB 
se 	 PRO:REF 
prevrću 	 VER 
prljave 	 ADJ 
, 	 PUN 
požutele 	 ADJ 
stranice 	 NOM:com 
nekog 	 ADJ:IND 
ofucanog 	 ADJ 
romana 	 NOM:com 
. 	 SENT 
 	  
. 	 SENT 
 	  
. 	 SENT 
 	  
Guten 	STR
Morgen 	STR
, 	 PUN 
Fräulein 	STR
Weiss 	STR
. 	 SENT 
 	  
Küss 	STR
die 	STR
Hand 	STR
! 	 SENT 
 	  
Malo 	 ADV 
dalje 	 ADV:KOM 
, 	 PUN 
folksdojčeri 	 NOM:com 
u 	 PRP 
kratkim 	 ADJ 
kožnim 	 ADJ 
pantalonama 	 NOM:com 
, 	 PUN 
